,lor_position
374,"Assistant Professor, director "
376,Assistant Professor
377,"direcetor, assistant professor"
378,"Assistant Professor, director "
381,Assistant Professor 
386,"Assistant Professor, director "
417,Assistant Professor 
420,Assistant Professor
424,Assistant Professor
426,Assistant Professor
433,"Assistant Professor , Director"
438,Assistant Professor
448,Assistant Professor
450,Assistant Professor
454,Assistant Professor
457,Assistant Professor 
470,Assistant Professor
473,Assistant Professor 
506,Assistant Professor
510,Clinical Assistant Professor
528,Assistant Professor
532,Assistant Professor
534,Assistant Professor
544,"Assistant Professor,MD"
554,Assistant Professor
558,Assistant Professor
560,Assistant Professor
561,Assistant Professor 
565,Assistant Professor 
566,Assistant Professor
578,Assistant Professor
581,Assistant Professor 
594,Assistant Professor
612,"Assistant Professor,
Director"
624,"Assistant Professor, Co-director"
628,Assistant Professor
636,Assistant Professor
638,"Assistant Professor, chief "
649,assitant professor
679,assistant proffesor 
682,assistant professor
685,assistant professor
686,assistant professor
688,assistant professor
693,assistant professor
698,assistant professor
703,assistant proffesor 
704,"director,vice chair for education radiology,associate section chief,assistant professor "
713,"chairman,assistant director,clinical assistant professor"
716,assistant professor
717,assistant professor
737,Assistant Professor 
738,"Assistant Professor,Associate Director "
740,"assistant professor,associate director"
744,"Director,Assistant Professor,Section Head of Neuroradiology "
746,"section chief,assistant professor"
748,"Assistant Professor,Program Director,Section Chief"
750,"Assistant Professor,Section Chief"
752,"Associate Program Director,Assistant Professor"
753,"Section Head of lnterventional Radiology,Assistant Professor"
754,"Section Head,Assistant Professor "
755,"director,assistant professor "
762,"Section Head,division,assistant professor"
764,"Vice Chairman,director,assistant professor"
767,Assistant Professor 
774,"Director,Assistant Professor "
775,Assistant Professor 
776,"Director,Assistant Professor"
780,"Program Director, Assistant Professor "
789,assistant professor
790,"Assistant Professor,director"
800,"Assistant Professor,director"
801,Assistant Professor 
806,"Clinical Assistant Professor,Medical Director "
824,"Assistant Professor,director"
825,Clinical Assistant Professor
829,Assistant Professor 
830,"Associate Program Director,Assistant Professor  "
834,"Clinical Assistant Professor,Co-Chair"
848,Clinical Assistant Professor 
857,"Senior Staff ,Clinical Assistant Professor "
864,"assistant professor,"
872,Assistant Professor 
880,Assistant Professor 
890,"Assistant Professor,"
900,Assistant Professor 
902,"Assistant Professor,Residency Program Director,"
903,"Assistant Professor ,Associate Residency Program Director"
905,Assistant Professor 
918,"Residency Program Director,Assistant Professor,Chief,"
922,"Residency Program Director ,Assistant Professor "
926,"Assistant Professor,"
930,"Assistant Professor ,Residency Program Director "
936,Assistant Professor 
942,Assistant Professor 
946,Assistant Professor of Neuroradiology Associate Residency Director
948,Assistant Professor Department of Neurosurgery 
956,"Assistant Professor,Residency Program Director
"
960,"Assistant Professor,Director,Residency Program Director
"
966,"Assistant Professor,"
969,"Program Director, , Assistant Professor,"
974,"Clinical Assistant Professor ,Assistant Residency Program Director,Section Chief "
979,"Assistant Professor ,Program Director"
989,Assistant Professor 
996,"Assistant Professor,Associate Program Director"
1000,Assistant Professor 
1004,Assistant Professor 
1012,"assistant professor,student course director"
1016,"Assistant Professor,Fellowship Director"
1017,"Assistant Professor ,Associate Program Director,Director"
1021,Clinical Assistant Professor
1029,"Interim Section Chief ,Assistant Professor ,"
1044,"Assistant Professor ,program director"
1045,"Assistant Professor,vice chair"
1064,"Assistant Professor ,section chief,"
1067,"Residency Program Director ,Assistant Professor,Chief"
1068,"Director,assistant professor"
1070,"Assistant Professor ,Residency Program Director "
1076,Clinical Assistant Professor
1078,Assistant Professor
1080,Assistant Professor 
1089,"Assistant Professor,division chief,program director,"
1096,"assistant professor,vice-chair"
1098,"Assistant Professor ,Section Chief,Program Director "
1101,"Clinical Assistant Professor ,"
1113,Assistant Professor
1116,"Assistant Professor
Director residency program"
1119,assistant professor
1120,"Clinical Assistant Professor ,chief,Residency Program Director "
1126,"assistant professor,DO,"
1142,"Assistant Professor,Medical Student Course Director"
1145,Assistant Professor
1147,"Assistant Professor ,Program Director ,"
1166,Assistant Professor 
1175,"Vice Chair ,Assistant Professor "
1181,assistant professor
1198,"Assistant Professor,Program Director"
1200,"Assistant Professor,Associate Program Director"
1217,assistant professor
1220,"Program Director,Assistant Professor "
1222,"Chief,director,assistant professor"
1232,"Assist. Professor,Residency Program Director"
1233,"Vice Chair ,Assistant Professor "
1236,"Program Director,Assistant Professor"
1240,"Program Director,Assistant Professor "
